object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of molt,Probability of juvenile,Probability of adult,Number of Holes,Euclidean Diameter,Average Branch Length,Diameter,Number of Branches,Length of the Skeleton,Center of the Skeleton_0,Center of the Skeleton_1,Center of the object_0,Center of the object_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Total Intensity_0,Total Intensity_1,Total Intensity_2,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Radii of the object_0,Radii of the object_1,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Size in pixels,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Object Area,Defect Center_0,Defect Center_1,Convexity,Mean Defect Displacement,Kurtosis of Defect Area,Convex Hull Area,Skewness of Defect Area,Number of Defects,Object Center_0,Object Center_1,Variance of Defect Area,Convex Hull Center_0,Convex Hull Center_1,Mean Defect Area
0,0,1,0,juvenile,0.06,0.91,0.03,0.0,173.85051,19.766945,234.59293,137.0,2708.0715,696.0,127.0,696.419,124.03187,372.32968,388.81638,204.19081,388.81638,434.9779,249.25018,204.19081,249.25018,258.4277,-0.2192422,-0.16076423,1.3367049,90.0,64.0,58.0,2539608.0,2011876.0,1570873.0,372.32968,434.9779,258.4277,796.0,189.0,606.0,51.0,208.0,198.0,187.0,151.25717,119.82585,93.560036,0.908949,0.4169073,0.4169073,-0.908949,50.60193,26.960398,0.04733007,0.3358857,0.94639665,16790.0,0.6075692,-0.41231316,-0.67886484,0.67123175,-0.19039811,0.7163774,0.4246264,0.89092445,-0.16107765,978.20087,1273.9542,956.2319,1273.9542,1704.6042,1323.6482,956.2319,1323.6482,1491.1844,-0.93203807,-1.1999629,-1.0157895,978.20087,1704.6042,1491.1844,3936435.0,3739823.0,3537182.0,109.0,85.0,90.0,255.0,255.0,255.0,206.87592,196.54315,185.89352,-0.47752875,-0.35603938,-0.033470497,16790.0,707.7662,111.43107,0.6403509,74.79639,-1.0410165,26220.0,0.91084826,5.0,696.419,124.03187,4578974.0,700.5,119.5,1886.0
1,0,2,0,juvenile,0.01,0.7,0.29,0.0,240.52026,112.108986,300.49243,6.0,672.6539,1346.0,423.0,1342.5099,420.4669,484.866,507.2258,321.31384,507.2258,557.2766,362.58997,321.31384,362.58997,333.3776,-0.2115416,-0.25124064,0.50424653,81.0,51.0,45.0,4434220.0,3684476.0,2895048.0,484.866,557.2766,333.3776,1463.0,505.0,1212.0,321.0,216.0,205.0,183.0,146.2763,121.54371,95.502014,0.9511249,-0.30880648,-0.30880648,-0.9511249,61.964222,40.255714,0.14873902,0.18759595,0.53961873,30314.0,0.60323024,-0.41215682,-0.6828177,0.65414196,-0.23413248,0.71922195,0.45630205,0.8805162,-0.12837328,1325.5088,1619.9817,1169.6315,1619.9817,2034.3756,1524.6882,1169.6315,1524.6882,1599.5459,-0.48180836,-0.79554546,-0.9202987,1325.5088,2034.3756,1599.5459,4985788.0,4729695.0,4398942.0,93.0,74.0,64.0,255.0,255.0,255.0,203.36044,192.91492,179.42415,-0.68446976,-0.50939524,0.026522782,30314.0,1326.4752,397.2821,0.6563745,108.263626,2.308993,46184.0,1.5107396,8.0,1342.5099,420.4669,7211490.5,1337.0,412.5,1983.75
2,0,3,0,adult,0.0,0.12,0.88,5.0,309.2329,217.33379,557.6001,4.0,1269.124,1168.0,631.0,1129.1929,667.03467,639.331,629.97485,372.9605,629.97485,659.8661,394.29074,372.9605,394.29074,364.8406,-0.11394063,0.13141961,1.8370993,64.0,39.0,33.0,9311658.0,7661999.0,6035169.0,639.331,659.8661,364.8406,1306.0,847.0,941.0,494.0,241.0,242.0,215.0,138.2947,113.79432,89.632996,0.76693636,0.64172316,0.64172316,-0.76693636,112.542305,57.32844,-0.23632294,0.13916239,0.810467,67332.0,0.6338188,-0.36724728,-0.6807372,0.64847106,-0.22743005,0.72647154,0.4216148,0.9018897,-0.09399979,1707.2203,2066.307,1453.238,2066.307,2555.641,1835.504,1453.238,1835.504,1801.3877,-0.46908197,-0.78631866,-1.0229214,1707.2203,2555.641,1801.3877,8719763.0,8316112.0,7879967.0,87.0,60.0,64.0,255.0,255.0,255.0,202.58731,193.20924,183.07623,-0.7373912,-0.57712126,-0.07239238,67332.0,1116.2213,673.24585,0.5225814,148.88374,1.9216099,128845.0,1.7733845,10.0,1129.1929,667.03467,119264216.0,1123.0,670.0,6151.3
3,0,4,0,molt,0.68,0.31,0.01,0.0,132.00378,19.447706,156.33809,85.0,1653.055,1429.0,613.0,1428.7332,612.1286,54.376278,69.90516,74.581055,69.90516,107.85064,114.441185,74.581055,114.441185,191.10728,1.2497603,0.8965589,0.88652915,161.0,127.0,77.0,1680566.0,1403246.0,1019219.0,54.376278,107.85064,191.10728,1489.0,669.0,1374.0,551.0,215.0,198.0,175.0,182.41246,152.31152,110.62835,0.7431461,0.6691292,0.6691292,-0.7431461,34.009983,21.838114,0.7617349,0.7514115,0.836279,9213.0,0.367386,-0.48735288,-0.79215825,0.54879314,-0.5740552,0.6076897,0.7509019,0.6579877,-0.056556072,531.87244,705.5119,650.9608,705.5119,973.75885,922.8623,650.9608,922.8623,1138.929,-0.1285666,-0.84753233,-0.75693184,531.87244,973.75885,1138.929,3132333.0,3011294.0,2755062.0,129.0,112.0,112.0,255.0,255.0,255.0,226.03067,217.29643,198.80661,-0.6755532,-0.4995206,-0.15890898,9213.0,1435.7935,603.9417,0.6789241,54.52546,-0.36256784,13570.0,1.1579921,6.0,1428.7332,612.1286,939818.94,1431.0,609.5,726.1667
4,0,5,0,molt,0.94,0.06,0.0,1.0,58.463665,54.526913,95.74011,2.0,134.26703,1393.0,728.0,1394.9885,723.6225,95.10565,122.04228,129.42505,122.04228,173.31242,176.60905,129.42505,176.60905,280.3136,0.25211495,0.46595415,0.0906642,156.0,111.0,93.0,550017.0,481439.0,369639.0,95.10565,173.31242,280.3136,1431.0,755.0,1355.0,690.0,225.0,211.0,186.0,196.9975,172.43517,132.3922,0.9550421,0.29647014,0.29647014,-0.9550421,19.625032,13.482392,0.16344987,0.22227949,0.66086936,2792.0,0.40871304,-0.41976303,-0.81040275,0.55899435,-0.5867749,0.5858503,0.7214423,0.69245523,0.005177396,451.94815,610.3587,593.4094,610.3587,849.4644,834.99854,593.4094,834.99854,1113.5836,0.7439472,0.3718313,-0.84894717,451.94815,849.4644,1113.5836,2231003.0,2142733.0,1975326.0,128.0,82.0,119.0,255.0,255.0,255.0,230.6423,221.5169,204.21028,-0.91743845,-0.81434596,-0.009462615,2792.0,1389.2654,719.89105,0.5651822,30.905554,-3.0084426,4940.0,-0.38786933,5.0,1394.9885,723.6225,151104.3,1392.5,722.0,429.6
5,0,6,0,molt,0.52,0.48,0.0,1.0,126.88972,13.252065,146.74011,78.0,1075.9453,1078.0,911.0,1075.6057,908.9669,154.79726,168.60011,84.31379,168.60011,212.32582,124.990906,84.31379,124.990906,180.39261,0.24737026,-0.028166305,0.11947079,130.0,91.0,64.0,872758.0,724216.0,534183.0,154.79726,212.32582,180.39261,1139.0,940.0,1012.0,879.0,202.0,182.0,150.0,175.92381,145.98186,107.676476,0.997868,0.065264784,0.065264784,-0.997868,32.38244,12.9718,-0.78886336,-0.5707379,-0.3078382,4961.0,0.5442118,-0.44504997,-0.7111709,0.6741429,-0.27258587,0.6864607,0.49936444,0.85301083,-0.15168282,1235.5194,1554.117,1275.6892,1554.117,2024.421,1768.7806,1275.6892,1768.7806,2111.6995,0.23404956,-0.63917667,-1.0996383,1235.5194,2024.421,2111.6995,2515668.0,2300826.0,2028682.0,91.0,68.0,64.0,255.0,255.0,255.0,205.07607,187.56224,165.3772,-0.418377,0.08179118,0.47295308,4961.0,1073.9214,909.05884,0.6403769,41.39743,-1.1084801,7747.0,0.027837694,5.0,1075.6057,908.9669,203851.7,1075.0,909.0,557.2
6,0,7,0,juvenile,0.11,0.85,0.04,0.0,118.966385,62.458282,202.82338,5.0,312.2914,1013.0,985.0,1026.6366,974.4926,245.3358,282.08047,203.65964,282.08047,351.0102,275.27585,203.65964,275.27585,330.65115,4.103214,2.4786818,1.1943381,124.0,85.0,72.0,1187972.0,1002060.0,746695.0,245.3358,351.0102,330.65115,1093.0,1031.0,969.0,904.0,233.0,213.0,202.0,193.32335,163.06917,121.51261,0.8355688,0.54938585,0.54938585,-0.8355688,37.60443,21.600767,-1.6813084,-1.1744075,0.7453513,6145.0,0.514027,-0.49957952,-0.69727796,0.6402954,-0.31744865,0.6994628,0.5707872,0.8060066,-0.1567013,605.99396,846.8601,1042.0553,846.8601,1220.7748,1539.5581,1042.0553,1539.5581,2259.1663,-0.50077593,-0.85570365,-1.012867,605.99396,1220.7748,2259.1663,3519584.0,3226463.0,2794961.0,123.0,88.0,75.0,255.0,255.0,255.0,214.02153,196.1972,169.9581,0.36653844,0.5519592,0.6054601,6145.0,1032.9722,962.20544,0.39020827,48.61606,1.4567739,15748.0,1.1499561,4.0,1026.6366,974.4926,4858055.0,1030.5,967.0,2400.75
7,0,8,0,molt,0.81,0.19,0.0,0.0,45.044422,9.289341,58.112698,37.0,343.70563,998.0,1026.0,1000.2224,1026.627,78.63843,122.50256,167.93085,122.50256,216.99457,285.02643,167.93085,285.02643,413.95065,0.6922487,-0.86583877,-0.5519493,165.0,135.0,85.0,255868.0,219547.0,168311.0,78.63843,216.99457,413.95065,1019.0,1052.0,979.0,1005.0,225.0,209.0,188.0,206.1789,176.91136,135.6253,-0.33755988,-0.941304,0.941304,-0.33755988,10.745365,9.781722,-0.6655568,-0.33628628,-0.1431371,1241.0,0.32286662,-0.2876658,-0.9016682,0.55010337,-0.7182021,0.42611262,0.77015805,0.63358825,0.07363755,806.70306,1143.1533,1474.7251,1143.1533,1658.6013,2188.923,1474.7251,2188.923,3150.2966,0.69152474,-0.41574627,-1.3771825,806.70306,1658.6013,3150.2966,1527627.0,1413481.0,1258542.0,123.0,85.0,72.0,255.0,255.0,255.0,220.69156,204.20125,181.81769,-0.78441596,-0.45780814,-0.050205138,1241.0,995.1549,1030.6666,0.66010636,21.821804,-2.240404,1880.0,0.5311862,5.0,1000.2224,1026.627,10590.7,998.5,1028.0,127.8
8,0,9,0,juvenile,0.04,0.92,0.04,3.0,55.7853,94.31549,228.79395,4.0,521.65894,1373.0,1133.0,1367.6667,1131.9474,419.81943,462.70044,319.76724,462.70044,539.7586,387.52072,319.76724,387.52072,386.35858,0.1022169,0.13915014,0.41675535,102.0,75.0,53.0,2664146.0,2183644.0,1591311.0,419.81943,539.7586,386.35858,1419.0,1229.0,1305.0,1030.0,231.0,216.0,178.0,173.32288,142.06259,103.52683,-0.13340694,-0.99106133,0.99106133,-0.13340694,49.796112,26.372856,-0.030479424,0.2667064,0.75557405,15371.0,0.5643097,-0.45422667,-0.68937117,0.6519161,-0.26714882,0.7096738,0.50651747,0.849888,-0.145363,960.2098,1244.9843,1171.9999,1244.9843,1656.4183,1592.6318,1171.9999,1592.6318,1956.7023,-0.33190304,-0.8558493,-1.1621311,960.2098,1656.4183,1956.7023,4179046.0,3966366.0,3649157.0,117.0,93.0,72.0,255.0,255.0,255.0,222.59753,211.26909,194.37291,-0.7307175,-0.5046373,-0.15473682,15371.0,1348.5419,1122.8066,0.6775544,78.32498,1.2315373,22686.0,1.2659205,7.0,1367.6667,1131.9474,1649773.0,1361.5,1129.0,1045.0
9,0,10,0,juvenile,0.0,0.98,0.02,1.0,179.62183,22.648653,257.32086,114.0,2615.503,887.0,1506.0,880.3073,1500.584,634.6279,603.49915,272.88864,603.49915,625.06934,310.67664,272.88864,310.67664,308.75497,-0.69428754,-0.39744186,1.6455692,79.0,60.0,51.0,3171267.0,2540799.0,1880705.0,634.6279,625.06934,308.75497,970.0,1590.0,795.0,1406.0,220.0,201.0,172.0,157.40642,126.11302,93.34914,0.70829356,-0.705918,-0.705918,-0.70829356,49.576984,34.236504,-0.20504597,0.13372543,1.210036,20147.0,0.6580421,-0.3889916,-0.6447218,0.6632849,-0.105836965,0.7408452,0.35641798,0.9151416,-0.1883671,1740.2953,2104.6777,1701.8341,2104.6777,2608.7173,2179.119,1701.8341,2179.119,2418.492,-0.76126903,-1.0261467,-1.2693596,1740.2953,2608.7173,2418.492,4528395.0,4324820.0,4159850.0,100.0,75.0,84.0,255.0,255.0,255.0,214.93166,205.26935,197.43936,-0.7116132,-0.5762428,-0.29748407,20147.0,884.82935,1492.345,0.62568325,80.691536,-3.105273,32200.0,0.51581293,5.0,880.3073,1500.584,5393146.5,882.0,1497.5,2410.6
10,0,11,0,juvenile,0.0,0.95,0.05,4.0,235.42302,143.88632,294.2498,3.0,602.6539,1755.0,1549.0,1791.0927,1535.357,501.20004,520.74255,306.48862,520.74255,575.9982,345.7477,306.48862,345.7477,278.8225,-0.13566871,-0.5307855,-0.5265064,79.0,58.0,39.0,3762719.0,3142484.0,2473644.0,501.20004,575.9982,278.8225,1874.0,1660.0,1707.0,1427.0,203.0,183.0,149.0,151.45993,126.493744,99.57107,0.22913496,-0.9733947,0.9733947,0.22913496,55.099907,38.186466,-0.7280664,-0.55279875,-0.27512994,24843.0,0.61532795,-0.4267913,-0.66273725,0.66660744,-0.16699377,0.72646236,0.42072082,0.88879824,-0.18174632,1263.0599,1539.4038,1300.4493,1539.4038,1935.6746,1697.5199,1300.4493,1697.5199,1939.227,-0.5047889,-0.740715,-0.56042314,1263.0599,1935.6746,1939.227,4492269.0,4182443.0,3751029.0,91.0,74.0,66.0,255.0,255.0,255.0,195.59668,182.10663,163.32256,-0.25452483,0.014070109,0.65413994,24843.0,1788.0704,1556.497,0.638457,98.64608,0.01686689,38911.0,1.1893685,10.0,1791.0927,1535.357,4098529.5,1790.0,1543.0,1406.8
11,0,12,0,juvenile,0.07,0.89,0.04,2.0,187.83237,45.75689,239.89444,17.0,802.2519,1074.0,1768.0,1063.7405,1764.0266,287.34467,297.23373,146.79236,297.23373,336.059,162.45625,146.79236,162.45625,144.27199,1.1026694,0.30833718,-0.25621408,88.0,60.0,66.0,2126886.0,1804524.0,1498688.0,287.34467,336.059,144.27199,1119.0,1867.0,1005.0,1665.0,192.0,180.0,159.0,156.5268,132.80276,110.29497,0.31560996,-0.948889,0.948889,0.31560996,52.41663,21.808712,-1.0138196,-0.64483535,-0.1267069,13588.0,0.62910044,-0.2824145,-0.72420627,0.68445635,-0.24034657,0.6882972,0.3684456,0.9286956,-0.042098254,1719.7179,2055.6445,1565.2815,2055.6445,2520.1091,1952.3785,1565.2815,1952.3785,2093.4204,-1.0948067,-1.2708948,-1.1754162,1719.7179,2520.1091,2093.4204,3762107.0,3548300.0,3460683.0,87.0,66.0,77.0,255.0,255.0,255.0,199.05328,187.74074,183.10492,-0.07226912,0.06376855,0.17374277,13588.0,1058.275,1767.6208,0.5900643,67.14268,-0.7266191,23028.0,1.1966069,7.0,1063.7405,1764.0266,3847333.2,1061.5,1765.5,1348.5714
