object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of winged adult,Probability of apterous adult,Probability of nymph,Probability of larvae,Probability of larvae-nymph small,Probability of molt,Defect Center_0,Defect Center_1,Mean Defect Area,Object Center_0,Object Center_1,Kurtosis of Defect Area,Mean Defect Displacement,Skewness of Defect Area,Variance of Defect Area,Convex Hull Area,Convexity,Convex Hull Center_0,Convex Hull Center_1,Object Area,Number of Defects,Radii of the object_0,Radii of the object_1,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Bounding Box Minimum_0,Bounding Box Minimum_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Size in pixels,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Total Intensity_0,Total Intensity_1,Total Intensity_2,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Euclidean Diameter,Average Branch Length,Center of the Skeleton_0,Center of the Skeleton_1,Number of Branches,Diameter,Length of the Skeleton,Number of Holes
0,0,1,0,larvae-nymph small,0.0,0.0,0.09,0.0,0.85,0.06,1284.8652,99.43748,411.83334,1286.5522,99.53043,-1.8713677,42.269238,0.91610074,284470.56,7548.0,0.6726285,1286.0,99.5,5077.0,6.0,29.248856,13.864313,98.8265,106.47176,169.55592,43.0,26.0,23.0,62.28757,45.88438,48.411465,1231.0,66.0,98.8265,98.88415,104.22006,98.88415,106.47176,113.610504,104.22006,113.610504,169.55592,5077.0,0.5096838,-0.5339835,-0.6745991,0.5402698,-0.41157022,0.73397446,0.6695752,0.73856044,-0.07872451,1342.0,134.0,1286.5522,99.53043,0.12975097,-0.079413064,-0.13343999,0.94025964,0.34045827,0.34045827,-0.94025964,316234.0,232955.0,245785.0,97.0,81.0,92.0,0.87725973,0.8159907,0.74620414,414.2017,580.5455,553.3808,120.40623,111.02973,123.47477,49.0,29.0,46.0,414.2017,484.53293,438.1328,484.53293,580.5455,526.44586,438.1328,526.44586,553.3808,0.35812673,-0.15796854,-0.29849917,1352764.0,1247419.0,1387239.0,147.0,140.0,161.0,-1.0685292,-0.9016393,-0.6815369,111.085556,17.464931,1286.0,99.0,66.0,128.81119,1152.6854,0.0
1,0,2,0,larvae-nymph small,0.0,0.05,0.31,0.01,0.63,0.0,1116.465,123.87862,1215.1666,1101.2029,120.491516,-0.27106592,57.404873,1.2123324,2924791.0,16371.0,0.5546393,1108.0,122.0,9080.0,6.0,39.916492,18.470001,83.4509,62.60112,120.07963,19.0,10.0,12.0,39.175552,27.277424,36.652424,1032.0,69.0,83.4509,66.16099,82.90353,66.16099,62.60112,76.99488,82.90353,76.99488,120.07963,9080.0,0.55183643,-0.6793384,-0.48371056,0.48912933,-0.206124,0.8475054,0.6754473,0.7042814,-0.21853761,1185.0,176.0,1101.2029,120.491516,1.7597512,2.8235226,2.5400894,0.8403275,-0.5420791,-0.5420791,-0.8403275,355714.0,247679.0,332804.0,87.0,78.0,97.0,1.1016967,1.26256,1.3788922,764.3327,977.9435,809.2696,113.99813,104.89219,119.07927,38.0,22.0,36.0,764.3327,856.9415,735.7282,856.9415,977.9435,835.7062,735.7282,835.7062,809.2696,-0.553132,-0.82503325,-0.48456767,1709858.0,1573278.0,1786070.0,147.0,140.0,160.0,-0.89602774,-0.77372915,-0.7119811,167.57387,28.793386,1105.0,117.0,52.0,189.79395,1497.2561,0.0
2,0,3,0,larvae-nymph small,0.0,0.04,0.06,0.0,0.89,0.01,1849.6406,217.87245,1217.25,1865.3557,208.964,1.9637533,61.44313,1.4389257,883280.94,14287.0,0.65920067,1860.0,212.0,9418.0,4.0,39.39993,19.6491,89.42884,100.88444,143.92836,32.0,14.0,14.0,53.41909,35.300488,37.518475,1782.0,167.0,89.42884,90.16319,84.31945,90.16319,100.88444,92.71243,84.31945,92.71243,143.92836,9418.0,0.51874536,-0.47525942,-0.71065587,0.55920583,-0.44013965,0.7025425,0.64667773,0.76184356,-0.037447434,1939.0,258.0,1865.3557,208.964,0.42013103,0.75487924,1.427436,0.97023207,0.24217696,0.24217696,-0.97023207,503101.0,332460.0,353349.0,90.0,75.0,94.0,0.88964707,1.0942669,1.2573363,614.34454,792.2385,710.7012,120.35245,110.901,125.20439,31.0,24.0,41.0,614.34454,689.4673,592.5803,689.4673,792.2385,687.92206,592.5803,687.92206,710.7012,-0.0046008113,-0.38589275,-0.07260199,1785910.0,1645660.0,1857908.0,154.0,146.0,166.0,-1.0341134,-0.8898531,-0.9165237,156.2626,20.082382,1859.0,205.0,97.0,175.88225,1947.9911,0.0
3,0,4,0,larvae-nymph small,0.0,0.0,0.01,0.0,0.99,0.0,1102.0361,320.7025,746.8333,1098.416,323.00937,-1.2928631,46.003693,1.0244985,1003894.2,10241.0,0.56244504,1100.0,322.0,5760.0,6.0,34.499752,13.481287,102.52494,90.245255,150.95491,29.0,12.0,15.0,53.992363,32.359722,38.12413,1062.0,256.0,102.52494,89.35831,87.38203,89.35831,90.245255,95.36941,87.38203,95.36941,150.95491,5760.0,0.5345439,-0.6232361,-0.57082355,0.53015614,-0.2787253,0.8007788,0.65817726,0.730677,-0.18142156,1139.0,389.0,1098.416,323.00937,0.51994306,1.3148721,1.8203378,0.3781262,-0.9257541,0.9257541,0.3781262,310996.0,186392.0,219595.0,96.0,77.0,93.0,0.82058024,1.1753473,1.3572881,510.67245,800.54156,683.6754,117.565575,107.23653,119.742,43.0,21.0,31.0,510.67245,632.2442,551.02435,632.2442,800.54156,694.131,551.02435,694.131,683.6754,0.06098191,-0.3190962,-0.07436956,1472744.0,1343352.0,1500008.0,145.0,139.0,158.0,-1.0873743,-0.9560706,-0.88527834,137.36084,15.773389,1099.0,321.0,84.0,151.05382,1324.9646,0.0
4,0,5,0,nymph,0.04,0.08,0.82,0.01,0.05,0.0,1476.1385,388.7978,1952.7142,1507.2603,390.83548,4.8131604,116.044975,2.406784,21507680.0,66676.0,0.5899874,1494.5,390.0,39338.0,14.0,81.52932,39.811535,340.73013,195.25998,138.45213,15.0,1.0,0.0,47.716103,26.196323,25.18519,1337.0,285.0,340.73013,232.06537,51.687634,232.06537,195.25998,86.50236,51.687634,86.50236,138.45213,39338.0,0.7735783,-0.38022467,-0.5069575,0.5902431,0.14117151,0.7947853,0.23062904,0.9140568,-0.3336322,1653.0,496.0,1507.2603,390.83548,1.0385581,2.1058896,2.888435,0.8874881,-0.46083054,-0.46083054,-0.8874881,1877056.0,1030511.0,990735.0,115.0,83.0,86.0,1.2939224,1.5434783,1.5232263,772.21045,1123.8319,1114.8232,115.88712,105.08531,115.011406,24.0,18.0,6.0,772.21045,917.9332,845.28784,917.9332,1123.8319,1059.2751,845.28784,1059.2751,1114.8232,-0.5365148,-0.892632,-0.68578374,3271030.0,2966138.0,3246312.0,149.0,141.0,161.0,-0.87455666,-0.7493213,-0.6603443,343.5171,121.10824,1494.0,403.0,5.0,378.81833,894.58997,9.0
5,0,6,0,larvae-nymph small,0.0,0.0,0.0,0.0,0.94,0.06,904.3173,414.8694,802.0,914.39514,413.45227,-3.5021915,40.25438,0.33618376,612571.3,8300.0,0.613494,910.5,414.0,5092.0,4.0,27.275766,15.715374,89.727516,99.18121,175.74873,29.0,17.0,8.0,61.563435,42.10605,38.930676,861.0,373.0,89.727516,85.46912,68.21306,85.46912,99.18121,88.17821,68.21306,88.17821,175.74873,5092.0,0.4699471,-0.57500196,-0.6697182,0.5368829,-0.41604257,0.7339383,0.70064723,0.70447236,-0.11319071,961.0,456.0,914.39514,413.45227,0.14895068,-0.35287347,0.1323465,0.84938216,0.52777827,0.52777827,-0.84938216,313481.0,214404.0,198235.0,94.0,76.0,85.0,-0.2026473,0.2900349,0.75022113,470.1242,701.4157,697.5536,113.56926,103.35683,110.173065,44.0,28.0,32.0,470.1242,567.39636,515.37335,567.39636,701.4157,639.9483,515.37335,639.9483,697.5536,-0.5165154,-0.86231637,-0.8936479,1295371.0,1178888.0,1256634.0,142.0,136.0,155.0,-0.7862917,-0.6390465,-0.34905764,103.711136,16.40128,909.0,414.0,66.0,123.781746,1082.4844,0.0
6,0,7,0,larvae-nymph small,0.0,0.1,0.41,0.01,0.47,0.01,832.85754,485.29385,938.7143,831.5327,484.0674,-0.808256,60.870987,1.2324395,2375991.2,18630.0,0.64728934,832.0,484.5,12059.0,7.0,44.363773,21.925014,91.78466,81.3088,188.79797,20.0,4.0,10.0,41.30865,25.877436,34.471348,775.0,404.0,91.78466,78.58655,107.54305,78.58655,81.3088,111.64853,107.54305,111.64853,188.79797,12059.0,0.48375022,-0.73101443,-0.48125216,0.47751266,-0.24036796,0.8451064,0.73346263,0.6386244,-0.23279057,890.0,566.0,831.5327,484.0674,2.0261912,4.952595,4.1068606,0.49757066,-0.8674235,0.8674235,0.49757066,498141.0,312056.0,415690.0,111.0,101.0,117.0,1.0336317,1.536367,1.7991121,711.2632,974.6949,753.44763,110.21085,100.63286,110.80233,30.0,17.0,30.0,711.2632,825.24835,655.79913,825.24835,974.6949,775.8018,655.79913,775.8018,753.44763,-0.81003547,-0.965094,-0.7239867,1813740.0,1656115.0,1823474.0,148.0,142.0,158.0,-0.7219129,-0.6491208,-0.45946157,185.42114,21.438475,830.0,482.0,105.0,202.17871,2251.0398,0.0
7,0,8,0,larvae-nymph small,0.0,0.244,0.265,0.03,0.45099998,0.01,1009.44745,504.55774,1650.0,1018.76526,506.77808,-4.7227817,62.555027,0.078999996,2280900.8,18834.0,0.6495699,1015.5,506.0,12234.0,4.0,40.580616,24.599764,124.06736,98.8103,176.44453,5.0,0.0,5.0,29.207537,21.94597,32.16928,943.0,442.0,124.06736,104.4768,122.02585,104.4768,98.8103,110.43672,122.02585,110.43672,176.44453,12234.0,0.558224,-0.5296926,-0.6386013,0.4990416,-0.40053675,0.76845807,0.6628299,0.7476604,-0.040749405,1089.0,571.0,1018.76526,506.77808,3.353358,6.4584546,4.667993,0.8182361,-0.5748823,-0.5748823,-0.8182361,357325.0,268487.0,393559.0,106.0,104.0,115.0,1.3177742,1.758499,1.8375806,770.13153,908.8839,613.61847,102.303604,92.82112,100.73022,29.0,23.0,32.0,770.13153,826.68195,608.1615,826.68195,908.8839,662.84106,608.1615,662.84106,613.61847,-0.9489128,-1.1501851,-0.88639855,1605962.0,1457106.0,1581263.0,145.0,137.0,155.0,-0.5152022,-0.3659173,-0.16668016,143.0,19.676634,1014.0,512.0,110.0,180.13708,2164.4297,0.0
8,0,9,0,nymph,0.0,0.08,0.81,0.0,0.11,0.0,2054.9795,573.54004,6271.8,2035.4932,576.3908,-2.5803287,110.587364,0.6930891,58408770.0,64277.0,0.5121272,2045.0,575.0,32918.0,5.0,80.91645,33.45593,239.59402,158.09358,134.86969,14.0,2.0,0.0,53.72289,28.87718,25.293852,1884.0,476.0,239.59402,168.38066,54.438316,168.38066,158.09358,90.99256,54.438316,90.99256,134.86969,32918.0,0.71626776,-0.4917227,-0.49514574,0.60692066,0.08878526,0.7897876,0.34439486,0.86621356,-0.36203068,2207.0,675.0,2035.4932,576.3908,0.0326019,2.2048948,2.4784138,0.8872335,0.46132058,0.46132058,-0.8872335,1768450.0,950579.0,832623.0,103.0,85.0,82.0,0.69794804,1.4191623,1.4153142,728.70624,1019.4539,1174.2485,117.19375,105.960495,115.30611,25.0,18.0,16.0,728.70624,850.7102,840.84686,850.7102,1019.4539,1025.8154,840.84686,1025.8154,1174.2485,-0.7010954,-0.97332984,-0.81565684,3215562.0,2907344.0,3163769.0,157.0,152.0,174.0,-0.61464256,-0.5123195,-0.44428787,334.52054,66.828705,2048.0,585.0,15.0,382.57568,1074.0996,1.0
9,0,10,0,larvae-nymph small,0.0,0.0,0.01,0.0,0.85,0.14,716.85254,564.46124,493.25,719.9259,580.9751,-0.5504862,44.585793,0.8649536,84658.914,6549.0,0.6987326,719.0,576.0,4576.0,4.0,27.441969,13.68739,134.8771,159.76721,170.6219,21.0,10.0,22.0,50.779064,40.33457,47.50612,690.0,521.0,134.8771,141.8639,111.01435,141.8639,159.76721,121.33023,111.01435,121.33023,170.6219,4576.0,0.55291796,-0.38912207,-0.73679423,0.6037626,-0.4223014,0.6761155,0.57424074,0.81868523,-0.0014393515,749.0,632.0,719.9259,580.9751,-0.39703164,-0.7475825,0.41143295,-0.08317448,-0.996535,0.996535,-0.08317448,232365.0,184571.0,217388.0,96.0,80.0,97.0,0.27721176,0.3371275,0.86670953,638.3092,812.1796,655.87866,116.52714,108.84706,121.59457,33.0,23.0,35.0,638.3092,714.1791,596.9825,714.1791,812.1796,676.4581,596.9825,676.4581,655.87866,0.023022916,-0.26668856,-0.38214168,1294500.0,1209182.0,1350794.0,144.0,138.0,159.0,-1.1169246,-1.0320919,-0.8057797,109.370926,15.852591,719.0,577.0,65.0,123.25484,1030.4185,0.0
10,0,11,0,nymph,0.05,0.12,0.82,0.0,0.01,0.0,1093.9127,649.8533,5417.75,1093.1764,629.5989,-1.8145897,90.190674,0.66903734,32882204.0,49312.0,0.5605329,1093.5,638.5,27641.0,4.0,67.737854,33.438694,170.84299,130.92522,203.61722,1.0,0.0,3.0,27.464237,18.256683,28.593683,960.0,547.0,170.84299,137.39508,151.76483,137.39508,130.92522,143.17857,151.76483,143.17857,203.61722,27641.0,0.57788926,-0.64378995,-0.50157607,0.5167563,-0.18703999,0.83545136,0.63166994,0.7419909,-0.22459413,1228.0,731.0,1093.1764,629.5989,2.7213078,7.145763,4.809246,0.9351484,-0.3542562,-0.3542562,-0.9351484,759139.0,504633.0,790358.0,112.0,106.0,120.0,1.3833547,2.1532373,2.044962,855.02014,1117.8817,867.07446,108.37157,99.73022,109.49788,17.0,12.0,24.0,855.02014,967.6884,787.0085,967.6884,1117.8817,909.7607,787.0085,909.7607,867.07446,-0.8928559,-1.010176,-0.7225649,2685339.0,2471215.0,2713248.0,146.0,139.0,158.0,-0.68307763,-0.63694495,-0.5121918,286.3564,172.19595,1074.0,635.0,2.0,344.3919,344.3919,0.0
11,0,12,0,molt,0.0,0.0,0.0,0.0,0.01,0.99,922.0717,586.2,88.333336,923.7616,584.9257,0.0,10.63324,0.23506543,1984.3334,588.0,0.54931974,923.0,585.5,323.0,3.0,6.9873605,3.9622703,43.310238,48.83478,29.426775,75.0,66.0,76.0,92.10836,79.06502,89.39009,913.0,572.0,43.310238,42.293266,23.44999,42.293266,48.83478,24.5412,23.44999,24.5412,29.426775,323.0,0.62315094,-0.2617292,-0.737008,0.6631497,-0.32275814,0.6753219,0.41462678,0.9095741,0.027561368,934.0,600.0,923.7616,584.9257,1.0774398,3.0696616,-0.19207034,0.44067556,-0.89766645,0.89766645,0.44067556,29751.0,25538.0,28873.0,117.0,111.0,106.0,0.273778,1.0542796,0.27159405,632.5257,750.0919,633.4766,104.14117,94.39087,98.45474,31.0,23.0,22.0,632.5257,681.04297,540.6232,681.04297,750.0919,592.5445,540.6232,592.5445,633.4766,-0.5035956,-0.8242833,-0.329659,520081.0,471388.0,491683.0,143.0,137.0,151.0,-0.52988446,-0.34541833,-0.37674522,28.460499,6.2117324,924.0,586.0,18.0,32.384777,111.81118,0.0
12,0,13,0,molt,0.0,0.0,0.0,0.0,0.21,0.79,1565.4471,592.6693,94.5,1563.1908,586.16864,-4.428078,16.498554,-0.024311809,3185.0,1054.0,0.64136624,1564.0,588.5,676.0,4.0,7.75562,7.1924105,19.228325,17.599943,34.66546,71.0,61.0,74.0,85.03107,77.12426,88.08728,1549.0,572.0,19.228325,15.318625,19.165928,15.318625,17.599943,19.120811,19.165928,19.120811,34.66546,676.0,0.50291544,-0.59416074,-0.6277333,0.48849002,-0.40376624,0.7735311,0.7130593,0.6956622,-0.08718132,1580.0,606.0,1563.1908,586.16864,0.48013636,0.35651895,0.14776342,-0.12031444,-0.99273586,0.99273586,-0.12031444,57481.0,52136.0,59547.0,100.0,91.0,106.0,0.47197518,0.17761943,0.7483293,315.71472,361.07745,284.60245,128.58981,122.86385,137.70474,58.0,50.0,78.0,315.71472,333.12012,282.05728,333.12012,361.07745,301.97665,282.05728,301.97665,284.60245,1.2817272,1.1433369,0.33091077,739520.0,706590.0,791940.0,148.0,142.0,164.0,-1.5156127,-1.5004764,-1.135349,24.41311,8.462945,1563.0,587.0,26.0,40.384777,220.03658,0.0
13,0,14,0,molt,0.0,0.0,0.0,0.0,0.02,0.98,980.7968,588.3102,37.4,981.1271,586.9933,-2.5957608,10.0519905,0.65987134,1765.3,486.0,0.6152263,981.0,587.5,299.0,5.0,7.1015534,3.6373987,158.63338,172.93999,137.59383,64.0,52.0,62.0,83.86288,69.42475,81.20401,968.0,579.0,158.63338,161.95456,118.75707,161.95456,172.93999,128.0906,118.75707,128.0906,137.59383,299.0,0.59200925,-0.4081488,-0.6949386,0.6234749,-0.31445926,0.71581733,0.51068985,0.8570472,-0.06830774,995.0,597.0,981.1271,586.9933,-0.21805513,0.007949191,0.6097304,0.9134544,-0.4069411,-0.4069411,-0.9134544,25075.0,20758.0,24280.0,120.0,110.0,117.0,0.85987324,0.93100005,1.0804311,1237.4673,1361.6312,1040.7356,98.56558,89.82239,97.44833,13.0,5.0,20.0,1237.4673,1289.925,1058.8857,1289.925,1361.6312,1113.8889,1058.8857,1113.8889,1040.7356,-0.7915362,-1.020648,-0.8299363,481690.0,438962.0,476230.0,143.0,137.0,151.0,-0.6539489,-0.5043451,-0.41517615,28.653097,5.459029,980.0,585.0,21.0,32.79899,114.63961,0.0
14,0,15,0,larvae-nymph small,0.0,0.0,0.0,0.0,0.95,0.05,895.2762,631.3532,908.75,892.9575,627.07776,-5.5026073,37.709824,0.008094324,820360.94,8085.0,0.550402,894.0,629.0,4450.0,4.0,29.20661,12.404479,107.491554,113.24691,227.11551,35.0,22.0,5.0,59.61326,44.528988,37.489662,842.0,591.0,107.491554,104.61334,81.01566,104.61334,113.24691,101.91423,81.01566,101.91423,227.11551,4450.0,0.46126315,-0.57716453,-0.67388237,0.51319695,-0.44601655,0.733279,0.7237853,0.684069,-0.090468064,947.0,668.0,892.9575,627.07776,-0.41207206,-0.18823776,-0.18085212,0.858777,0.51234955,0.51234955,-0.858777,265279.0,198154.0,166829.0,96.0,81.0,88.0,0.14904025,0.47823796,0.64379007,839.20386,1029.6761,875.9459,110.09442,101.74642,110.50795,17.0,10.0,29.0,839.20386,922.2763,775.4266,922.2763,1029.6761,868.94507,775.4266,868.94507,875.9459,-0.27175114,-0.6848653,-1.0486394,1246489.0,1151973.0,1251171.0,146.0,140.0,159.0,-0.8221252,-0.6913587,-0.29860768,103.87011,13.720841,895.0,628.0,74.0,129.26703,1015.3423,0.0
15,0,16,0,larvae-nymph small,0.0,0.0,0.03,0.0,0.69,0.28,1462.8334,665.73413,1731.25,1459.923,684.8678,-1.296581,52.121758,-0.14598466,1920383.6,12780.0,0.45813772,1461.5,674.5,5855.0,4.0,32.729576,15.985647,286.5708,347.84915,331.09293,26.0,11.0,13.0,57.05841,45.650726,51.593,1417.0,604.0,286.5708,309.42398,284.957,309.42398,347.84915,313.4493,284.957,313.4493,331.09293,5855.0,0.5480091,-0.36967444,-0.75035113,0.60425204,-0.4453469,0.660716,0.57841635,0.8154796,0.020677624,1507.0,746.0,1459.923,684.8678,2.2533104,1.3314836,0.7726255,-0.5168167,-0.8560961,0.8560961,-0.5168167,334077.0,267285.0,302077.0,124.0,116.0,114.0,1.2295148,0.95207816,0.8071053,747.6065,973.7812,897.4114,112.544754,103.63555,113.0881,35.0,20.0,22.0,747.6065,846.1458,759.9706,846.1458,973.7812,873.9427,759.9706,873.9427,897.4114,-0.68337935,-0.7329217,-0.19449638,1584180.0,1458774.0,1591828.0,147.0,141.0,159.0,-0.77245545,-0.73461604,-0.82965726,145.78409,88.59798,1470.0,677.0,1.0,176.82338,88.59798,0.0
16,0,17,0,larvae-nymph small,0.0,0.023333333,0.17666668,0.0,0.8,0.0,1886.0289,753.0977,1023.4,1884.436,746.7541,-3.3002641,55.073177,0.60836923,1661474.2,14453.0,0.64595586,1885.0,749.0,9336.0,5.0,39.953766,18.749933,71.31325,48.179264,81.26472,18.0,9.0,7.0,37.89021,25.470009,31.862469,1837.0,675.0,71.31325,53.069595,51.452126,53.069595,48.179264,47.81314,51.452126,47.81314,81.26472,9336.0,0.5980765,-0.5920385,-0.54018044,0.50586057,-0.24391682,0.8274115,0.62161857,0.7681113,-0.15360801,1934.0,824.0,1884.436,746.7541,-0.17784204,0.2463845,3.0623705,0.42972383,-0.90296036,0.90296036,0.42972383,353743.0,237788.0,297468.0,74.0,58.0,87.0,0.45044467,0.50227135,1.3882525,1008.5689,1247.3578,1103.5549,112.16675,102.27053,113.22065,37.0,25.0,23.0,1008.5689,1110.5182,968.2375,1110.5182,1247.3578,1100.8972,968.2375,1100.8972,1103.5549,-1.1134282,-1.2620053,-0.68871665,1621146.0,1478116.0,1636378.0,156.0,148.0,171.0,-0.5186484,-0.425933,-0.5648715,162.01234,21.857214,1884.0,749.0,88.0,179.48022,1923.4348,0.0
